rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
11,2023,2022-10-25,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,15061048.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
12,2023,2023-01-30,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,9364848.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
13,2023,2023-01-30,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,7956306.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
14,2023,2022-10-25,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,5500656.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
15,2025,2024-07-25,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16988776.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
16,2025,2024-08-30,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16988776.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
17,2025,2025-01-30,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16358676.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
18,2025,2025-01-03,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16358676.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
19,2024,2024-01-26,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15780800.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
20,2024,2024-02-22,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15780800.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
21,2024,2023-07-25,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,13251200.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
22,2024,2023-08-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,13251200.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
23,2024,2023-07-25,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12423000.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
24,2024,2023-08-08,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12423000.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
25,2024,2023-09-28,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12072750.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
26,2024,2023-09-14,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12072750.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
27,2024,2023-12-01,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12072750.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
28,2024,2023-10-11,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12072750.0000,22.5,"whole_dollar,true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
29,2021,2020-10-07,DEPT OF EMERGENCY AND MILITARY AFFAIRS,OTHER OPERATING EXPENDITURES,DIGNITY HEALTH,RESPONSE AND RECOVERY,1060500.0000,22.4,"whole_dollar,true_duplicate,new_vendor_large,peer_outlier,offcontract",screened_unreviewed,,
30,2021,2020-10-08,DEPT OF EMERGENCY AND MILITARY AFFAIRS,OTHER OPERATING EXPENDITURES,DIGNITY HEALTH,RESPONSE AND RECOVERY,1060500.0000,22.4,"whole_dollar,true_duplicate,new_vendor_large,peer_outlier,offcontract",screened_unreviewed,,
31,2016,2016-06-13,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,PULICE CONSTRUCTION INC,M-RARF CONSTRUCT FREEWAYS  OTH RT 56-2,2000000.0000,21.0,"round_1m,june_round,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice Construction Inc is a long-established Arizona heavy-highway/freeway construction contractor (Phoenix area) that is a frequent ADOT prime/design-build contractor on Loop and freeway projects. ADOT routinely pays fixed 'stipends' to design-build proposers, which are round lump-sum amounts."
32,2016,2016-06-13,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,KIEWIT DEVELOPMENT COMPANY,M-RARF CONSTRUCT FREEWAYS  OTH RT 56-2,2000000.0000,21.0,"round_1m,june_round,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit Development Company was a short-listed proposer team in ADOT's Loop 202 South Mountain Freeway design-build P3 procurement; it lost to Connect 202 Partners (Fluor/Granite/Ames), which won the ~$916M contract finalized in 2016. The $2M is the standard losing-proposer stipend paid to defray proposal-development costs."
33,2023,2023-01-05,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,26436578.8100,19.5,"sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
34,2023,2023-01-05,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,9849606.2500,19.5,"sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
35,2018,2018-06-22,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,GILA RIVER NRCD,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,7500000.0000,19.5,"round_100k,june_round,peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
36,2023,2022-12-02,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,5525212.5000,19.5,"sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
37,2025,2024-07-19,OFFICE OF ECONOMIC OPPORTUNITY,PROFESSIONAL AND OUTSIDE SERVICES,ARIZONA COMMERCE AUTHORITY,ECONOMIC DEVELOPMENT EXPENDITURE,5461371.0000,19.5,"whole_dollar,sole_source,peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
38,2023,2022-10-21,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,4250000.0000,19.5,"sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
39,2023,2023-06-29,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,4000000.0000,19.5,"round_1m,new_vendor_dominant,new_vendor_large,june_round",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
40,2021,2021-01-25,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,SCOTTSDALE HEALTHCARE FOUNDATION,PUBLIC HEALTH EMERGENCIES,3691336.0000,19.5,"whole_dollar,short_tenure_vendor,new_vendor_large,peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
41,2021,2020-09-29,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,QUALTRICS LLC,PUBLIC HEALTH EMERGENCIES,1515420.0000,19.5,"whole_dollar,short_tenure_vendor,new_vendor_large,peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
42,2025,2024-07-16,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15926977.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
43,2025,2024-09-11,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15926977.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
44,2025,2024-08-16,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15926977.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
45,2024,2024-04-26,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15216352.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
46,2024,2024-05-08,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15216352.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
47,2025,2024-07-10,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15216352.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
48,2024,2023-12-18,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,14794477.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
49,2024,2024-01-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,14794477.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
50,2024,2024-02-23,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,14794477.5000,18.0,"true_duplicate,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
