vid,payee,hv_exposure,flagged_exposure,n_flagged,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,agencies_served,top_agency,first_year_seen,peak_agency_share,top_markers,verify_verdict,overtaker_interest,recommended_action,public_context
IV0000023826,COFFMAN AMES JOINT VENTURE,92542054,92542054,32,9,65732589,1,1,7.8,1,DEPT OF TRANSPORTATION,2021,0.01526399047909518,offcontract|no_contract_named|peer_outlier|whole_dollar,explained_benign,2,annotate,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway."
IV0000006558,FISHER SAND AND GRAVEL CO,264143637,252518471,212,10,65474192,8,1,7.8,1,DEPT OF TRANSPORTATION,2021,0.018966055550917037,offcontract|no_contract_named|peer_outlier|whole_dollar,explained_benign,2,downgrade,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
IV0000012155,CENTURION OF ARIZONA LLC,274058017,68778759,20,7,51216852,3,1,12.0,2,DEPT OF CORRECTIONS,2021,0.12561558255523,offcontract|true_duplicate|no_contract_named|june_round|whole_dollar,explained_benign,3,annotate,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities."
IV0000000009,GRANITE CONSTRUCTION CO,188237992,187298682,163,9,50516007,10,1,13.5,1,DEPT OF TRANSPORTATION,2021,0.016174641543098944,offcontract|no_contract_named|whole_dollar|peer_outlier,false_positive_marker,2,suppress_marker,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
IV0000005722,PUBLIC CONSULTING GROUP INC,44251482,44251482,12,12,44251482,0,1,9.0,1,AHCCCS,2023,0.0005344921770540524,offcontract|peer_outlier|no_contract_named,explained_benign,2,annotate,Public Consulting Group (PCG) is a private management-consulting firm that AHCCCS contracts as third-party administrator of Arizona's Medicaid School-Based Claiming Program (Direct Service + Medicaid Administrative Claiming); the most recent contract runs July 2022-June 2025 and PCG has served in this role for 11+ years.
IV0000061315,LOCAL INITIATIVES SUPPORT CORPORATION,67050811,40968988,12,6,39642178,2,1,15.0,3,DEPT OF ECONOMIC SECURITY,2023,0.12167737710272312,offcontract|new_vendor_large|no_contract_named|peer_outlier|true_duplicate,explained_benign,2,annotate,"Local Initiatives Support Corporation (LISC) is a major national nonprofit community-development financial intermediary. Its Phoenix office administered Arizona's ~$60M Child Care Infrastructure Grant program (federal ARPA/CCDF pandemic relief) on behalf of DES and First Things First, awarding facility-improvement grants to 478 child care providers statewide."
VC0000003001,DRIGGS TITLE AGENCY INC,39388703,39388703,8,5,38731970,1,1,14.3,2,DEPT OF TRANSPORTATION,2021,0.004724457344024166,offcontract|whole_dollar|no_contract_named|peer_outlier,explained_benign,2,annotate,"Driggs Title Agency Inc is an Arizona-based title and escrow company; such firms act as the neutral closing/escrow agent through which a government buyer disburses funds when acquiring real property, including highway right-of-way parcels."
IV0000000997,ARIZONA STATE UNIVERSITY,340064502,37590295,23,7,31500000,3,1,12.0,13,DEPT OF HEALTH SERVICES,2021,0.17301138504542557,whole_dollar|round_1m|round_100k|june_round,false_positive_marker,2,suppress_marker,Arizona State University is a public research university; its Biodesign Institute operated Arizona's statewide COVID-19 saliva-based testing program under contract with the AZ Dept of Health Services during the pandemic.
VC0000010109,ZEITLIN AND ZEITLIN PC,41384905,41384905,15,3,29570795,8,1,16.9,1,DEPT OF TRANSPORTATION,2016,0.005546881604955686,offcontract|no_contract_named|whole_dollar|peer_outlier|round_1m,explained_benign,2,annotate,"Zeitlin & Zeitlin, P.C. is a Phoenix, AZ law firm (founded 1993, Dale & Dawn Zeitlin) specializing in eminent domain and inverse condemnation, representing property owners in government takings; principal Dale Zeitlin has handled over $100M in eminent-domain cases. ADOT payments to it are right-of-way acquisition/condemnation just-compensation payouts."
IV0000006755,THE WEITZ CO,33068749,33068749,24,17,27177386,7,1,7.8,1,DEPT OF VETERANS SERVICES,2021,0.28599006162233304,offcontract|sole_source|no_contract_named,explained_benign,2,suppress_marker,"The Weitz Company was the construction-manager-at-risk (with architect SmithGroup) for the Arizona Department of Veterans' Services on the Flagstaff and Yuma State Veteran Homes — two 74,000 sq ft, 80-bed facilities; groundbreaking 2019, scheduled completion June 2021. This confirms the FY2021 draws as routine progress payments on a documented, publicly announced capital project."
IV0000000903,CGI TECHNOLOGIES AND SOLUTIONS INC,61507011,51070929,50,17,26836091,9,1,18.0,1,DEPT OF ADMINISTRATION,2021,0.008125672844609666,whole_dollar|peer_outlier|round_1m|offcontract|true_duplicate,explained_benign,2,suppress_marker,"CGI Technologies and Solutions Inc. is the US arm of CGI Inc., a major publicly traded Canadian IT/systems-integration firm; it is the long-standing integrator behind Arizona's statewide AFIS (Arizona Financial Information System) ERP and the HRIS replacement."
IV0000008944,COFFMAN SPECIALTIES INC,47200904,47200904,14,4,25284362,2,1,13.0,1,DEPT OF TRANSPORTATION,2025,0.00964939114297583,offcontract|no_contract_named|true_duplicate|peer_outlier,explained_benign,2,downgrade,"Coffman Specialties, Inc. is an established heavy-civil/highway construction firm (founded 1991, Woman-Owned Business Enterprise) with documented major ADOT design-build contracts, including a ~$410M I-10 corridor project (with Fisher Sand & Gravel/Stantec) and a $41.9M US-60/Bell Road interchange in Surprise, AZ."
IV0000000310,DELOITTE CONSULTING,41762797,30911323,27,6,24570027,10,1,10.5,2,DEPT OF ECONOMIC SECURITY,2021,0.0024538086938898102,whole_dollar|true_duplicate|peer_outlier|offcontract|no_contract_named,mixed,2,annotate,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
VC0000080576,CRE-WPL ESTRELLA JV LLC,24340000,24340000,3,2,24010375,1,1,15.6,1,DEPT OF TRANSPORTATION,2024,0.004039753092683956,new_vendor_large|short_tenure_vendor|offcontract|peer_outlier|no_contract_named,explained_benign,2,downgrade,"""Estrella"" is a master-planned community in Goodyear, Arizona (southwest Maricopa County), in the SR-30 / Loop 303 freeway corridor; ""CRE-WPL Estrella JV LLC"" reads as a commercial-real-estate joint venture entity. A targeted web search confirmed only the general ADOT right-of-way land-acquisition context, not the specific JV (single-purpose land-holding LLCs are not independently searchable)."
IV0000057235,SUNDT CS A JOINT VENTURE,75649183,26108606,14,7,22628514,5,1,10.4,1,DEPT OF TRANSPORTATION,2023,0.013019336584034497,offcontract|new_vendor_large|no_contract_named|peer_outlier|whole_dollar,mixed,3,annotate,"Sundt Construction is a large employee-owned, Arizona-headquartered general/heavy-civil contractor (founded 1890); 'CS A JOINT VENTURE' denotes a project-specific JV it forms for ADOT freeway/transportation work."
VC0000078409,BOSCHMA LAND TRUST,23315774,23315774,5,3,22564086,1,1,15.6,1,DEPT OF TRANSPORTATION,2024,0.0029624445509483116,offcontract|no_contract_named|whole_dollar|short_tenure_vendor|new_vendor_large,,,,
IV0000003872,COLORADO RIVER INDIAN TRIBES,20260000,20260000,4,4,20260000,0,1,15.0,1,DEPT OF WATER RESOURCES,2021,0.18068048762976263,offcontract|no_contract_named|peer_outlier|true_duplicate,,,,
VC0000034657,SJW LAND COMPANY,20000000,20000000,2,2,20000000,0,1,13.0,1,DEPT OF TRANSPORTATION,2017,0.006253325060386928,no_contract_named|offcontract|short_tenure_vendor|new_vendor_large|peer_outlier,,,,
PZ000049068,"GEO CORRECTIONS AND DETENTION\, LLC",192708635,89428711,121,4,16760066,34,1,7.5,1,DEPT OF CORRECTIONS,2016,0.07639468063252111,whole_dollar|offcontract|no_contract_named|round_100k|round_1m,,,,
IV0000070526,PUBLIC CONSULTING GROUP LLC,17987337,17245339,4,1,16169856,0,1,6.0,1,AHCCCS,2024,0.000589174914623293,whole_dollar|peer_outlier,,,,
IV0000030792,SUNDT CONSTRUCTION INC,60595732,24902904,23,2,16111870,0,1,7.8,1,DEPT OF TRANSPORTATION,2021,0.011159384044803192,offcontract|peer_outlier|no_contract_named,explained_benign,2,downgrade,"Sundt Construction is a major employee-owned general contractor headquartered in Tempe, Arizona (founded 1890), and one of the largest builders in the Southwest, with a long history of Arizona Department of Transportation highway and freeway work."
IV0000016232,GCOM SOFTWARE LLC,18990919,18990919,9,5,14835978,3,1,16.8,1,DEPT OF REVENUE,2024,0.11728427815428431,peer_outlier|new_vendor_dominant|new_vendor_large|whole_dollar|short_tenure_vendor,explained_benign,3,annotate,"GCOM Software LLC (now rebranded Voyatek) was selected by the Arizona Dept of Revenue in Aug 2023 for a ~15-year, ~$79.1M contract to build the STARS integrated tax system (RevHub platform, with subcontractor Kyndryl). The multi-year modernization is publicly documented and ongoing (completion ~2029-2030)."
IV0000017424,NCS PEARSON INC,102046117,24458226,29,7,14645663,12,1,12.0,1,DEPT OF EDUCATION,2021,0.004591153669641648,true_duplicate|whole_dollar|peer_outlier|round_1m|round_100k,,,,
IV0000050336,DISCOVERY EDUCATION INC,13986987,13986987,2,2,13986987,0,1,12.0,1,DEPT OF EDUCATION,2023,0.0018828443768455362,peer_outlier|short_tenure_vendor|new_vendor_large,,,,
IV0000060296,EMERY SAPP & SONS INC AND SUBSIDIARIES,23812085,23812085,23,6,12937735,3,1,6.5,1,DEPT OF TRANSPORTATION,2023,0.0032124399307559078,offcontract|no_contract_named|new_vendor_large,,,,
PZ000057277,"ACTIVE RESOURCE MANAGEMENT, LLC",12500000,12500000,1,1,12500000,0,1,26.6,1,DEPT OF WATER RESOURCES,2017,0.35374963585507735,peer_outlier|new_vendor_large|new_vendor_dominant|sole_source|vendor_dependency,genuine_review,4,keep,"ACTIVE RESOURCE MANAGEMENT, LLC (ARM) was a water-asset holding company (owned by Vidler Water Company) that sold 50,000 Long Term Storage Credits to the Arizona Water Banking Authority for $12.5M (~$250/credit). Local reporting (Desert Water Grab) characterized it as a private sale to the water bank at a notably high price relative to ARM's underlying acquisition cost."
IV0000061614,NAPHCARE ARIZONA LLC,12260000,12260000,1,1,12260000,0,1,12.0,1,DEPT OF CORRECTIONS,2023,0.006983866817482535,peer_outlier|new_vendor_large|short_tenure_vendor,,,,
IV0000000772,SOLIX INC,24444441,17091014,12,5,12223778,7,1,15.0,1,DEPT OF EDUCATION,2024,0.0021001686517316837,short_tenure_vendor|new_vendor_large|true_duplicate|offcontract|peer_outlier,,,,
PZ000001966,NAME REDACTED,206111439,13254975,12,1,12006779,0,1,11.2,2,DEPT OF ECONOMIC SECURITY,2016,0.03442451373781926,offcontract|whole_dollar|peer_outlier,,,,
IV0000017457,HDR ENGINEERING INC,56635042,51784332,130,10,11798059,13,1,9.0,2,DEPT OF TRANSPORTATION,2021,0.006447063591452174,offcontract|peer_outlier|no_contract_named|whole_dollar,,,,
IV0000000660,PITNEY BOWES,53991795,52841795,143,9,11572900,0,1,11.2,4,DEPT OF ECONOMIC SECURITY,2023,0.021924151700038957,offcontract|peer_outlier,false_positive_marker,1,suppress_marker,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data."
IV0000003771,TOHONO O ODHAM NATION,12819686,12819686,7,2,11283930,1,1,12.6,1,DEPT OF WATER RESOURCES,2021,0.15847242752813293,offcontract|whole_dollar|peer_outlier,,,,
IV0000048676,GINKGO BIOWORKS INC,35632439,35632439,57,8,11248164,47,1,16.5,1,DEPT OF HEALTH SERVICES,2023,0.040334564307463155,new_vendor_large|short_tenure_vendor|whole_dollar|peer_outlier,,,,
IV0000002963,BANNER HEALTH,515370491,10000000,1,1,10000000,0,1,16.5,2,DEPT OF EMERGENCY AND MILITARY AFFAIRS,2021,0.630339265460307,peer_outlier|offcontract|no_contract_named|round_1m,explained_benign,2,downgrade,
IV0000017124,ON ADVERTISING INC,11134153,10528030,6,4,9926530,0,1,13.5,4,DEPT OF EDUCATION,2023,0.0011427886649454841,whole_dollar|round_1m|peer_outlier,,,,
VC0000032995,"REXCO, LLC",10048301,10048301,2,1,9475548,0,1,7.8,1,DEPT OF TRANSPORTATION,2016,0.0028478311249008335,offcontract|no_contract_named|peer_outlier,,,,
IV0000005229,CENTRAL ARIZONA WATER CONSERVATION DISTRICT,17718238,17718238,15,1,9190720,10,1,13.5,3,LAND DEPARTMENT,2021,0.14997064416100356,offcontract|whole_dollar|peer_outlier|round_100k|no_contract_named,,,,
PZ9000005948,PUBLIC CONSULTING GROUP INC,20524883,20278123,18,4,8932449,8,1,9.0,3,AHCCCS,2016,0.0043191845421779555,offcontract|no_contract_named|whole_dollar|peer_outlier,,,,
IV0000010516,CARAHSOFT TECHNOLOGY CORP,152343526,71337104,202,6,8825351,33,1,10.5,26,DEPT OF HEALTH SERVICES,2021,0.24257655819867185,whole_dollar|true_duplicate|offcontract|sole_source|peer_outlier,,,,
IV0000001331,TUCSON AIRPORT AUTHORITY,14602664,12753024,26,3,8397895,0,1,8.4,2,DEPT OF EMERGENCY AND MILITARY AFFAIRS,2021,0.03097414512931219,offcontract|peer_outlier,,,,
IV0000002618,MARICOPA COUNTY,3537116949,20626527,21,3,8252515,7,1,6.5,19,DEPT OF EDUCATION,2021,0.16306153854610972,whole_dollar,,,,
IV0000005248,FIDELITY NATIONAL TITLE,11865620,11865620,4,2,8061438,2,1,15.6,2,DEPT OF PUBLIC SAFETY,2023,0.08284467575866081,offcontract|no_contract_named|peer_outlier|round_100k,,,,
IV0000006474,VALORIT,61952079,14439137,28,4,7891284,3,1,10.5,3,DEPT OF ECONOMIC SECURITY,2021,0.03324807390459041,whole_dollar|offcontract|peer_outlier|true_duplicate,,,,
PZ000017868,GILA RIVER NRCD,7500000,7500000,1,1,7500000,0,1,19.5,1,DEPT OF TRANSPORTATION,2018,0.002381536623826347,june_round|round_100k|offcontract|no_contract_named|peer_outlier,,,,
IV0000007240,BELL TEXTRON INC,8035367,7892608,3,1,7353644,1,1,8.4,1,DEPT OF PUBLIC SAFETY,2023,0.008569768345375196,peer_outlier|whole_dollar|offcontract,,,,
IV0000017353,PUBLIC CONSULTING GROUP LLC,10103411,10103411,9,2,7342293,2,1,9.0,2,AHCCCS,2021,0.0003140466519419402,whole_dollar|offcontract|no_contract_named|peer_outlier,,,,
VC0000060308,CALIFORNIA GOVERNORS OFFICE OF EMERGENCY SERVICES (CALOES),7250000,7250000,1,1,7250000,0,1,12.6,1,DEPT OF HEALTH SERVICES,2021,0.005452430674086839,new_vendor_large|offcontract|peer_outlier,,,,
IV0000006083,SCIENTIFIC GAMES INTERNATIONAL,33461097,8560026,4,1,7167600,2,1,9.8,1,LOTTERY COMMISSION,2021,0.06487807969150222,whole_dollar|offcontract|true_duplicate,,,,
IV0000009965,GEO SECURE SERVICES LLC,492780810,219816086,289,4,7044625,117,1,13.5,2,DEPT OF CORRECTIONS,2021,0.07275266080641395,whole_dollar|true_duplicate|offcontract,explained_benign,3,annotate,"GEO Secure Services LLC is a subsidiary of The GEO Group (NYSE: GEO), a publicly traded private-prison and detention operator that runs Arizona facilities including ASP-Kingman, Florence West, and Phoenix West under long-standing Arizona Department of Corrections contracts."
VC0000082646,FONDOMONTE ARIZONA LLC,7000000,7000000,1,1,7000000,0,1,28.0,1,LAND DEPARTMENT,2025,0.23727279289098036,new_vendor_large|round_1m|new_vendor_dominant|sole_source|peer_outlier,genuine_review,5,keep,"Fondomonte Arizona LLC is the US subsidiary of Saudi dairy giant Almarai, growing alfalfa on Arizona state land to ship home as cattle feed; its cheap leases and unmetered groundwater pumping drew national scrutiny, an Arizona Auditor General investigation, and lease terminations/non-renewals by Gov. Hobbs in 2023. Public reporting indicates the $7M was a state-law-required reimbursement to Fondomonte for lease improvements."
IV0000082779,ARIZONA JEWISH HISTORICAL SOCIETY,7000000,7000000,1,1,7000000,0,1,13.5,1,DEPT OF EDUCATION,2025,0.000889662803645946,peer_outlier|round_1m,genuine_review,4,annotate,"The Arizona Jewish Historical Society received a $7M FY2025 state appropriation (via the Dept of Education) to help build the Hilton Family Holocaust Education Center in Phoenix, which broke ground in 2025 and is slated to open in 2027 with ~$38M total raised; a condition was free admission for Arizona students."
PZ000003492,CGI TECHNOLOGIES AND SOLUTIONS INC,30174320,21849388,33,4,6843274,8,1,10.5,2,DEPT OF ADMINISTRATION,2016,0.010777123072824395,whole_dollar|peer_outlier|offcontract,,,,
07416501,GILA RIVER INDIAN COMM,7347120,7347120,5,4,6696984,1,1,12.6,1,DEPT OF WATER RESOURCES,2016,0.104182057488517,offcontract|whole_dollar|no_contract_named|peer_outlier,,,,
VC0000005837,ARIZONA COMMERCE AUTHORITY,324581656,29162526,36,2,6560950,26,1,19.5,7,ARIZONA COMMERCE AUTHORITY,2016,1.0,offcontract|sole_source|vendor_dependency|whole_dollar|june_round,,,,
VC0000013666,PROPERTY RESERVE ARIZONA LLC,11520840,11520840,4,1,6544535,0,1,7.8,1,DEPT OF TRANSPORTATION,2016,0.0019511274835620328,offcontract|no_contract_named|peer_outlier,,,,
IV0000003542,CDW GOVERNMENT INC,148357341,57050548,112,4,6429525,11,1,9.8,23,DEPT OF CHILD SAFETY,2021,0.06153072098029274,whole_dollar|peer_outlier|offcontract|true_duplicate|round_100k,,,,
IV0000017818,PERKINS COIE LLP,6981656,6381656,1,1,6381656,0,1,6.0,2,DEPT OF ADMINISTRATION,2021,0.0036340405962249933,no_contract_named|offcontract,,,,
IV0000090082,VIDLER WATER CO,6322188,6322188,1,1,6322188,0,1,15.0,1,DEPT OF WATER RESOURCES,2025,0.08322509626776456,no_contract_named|offcontract|peer_outlier|short_tenure_vendor|new_vendor_large,,,,
PZ000037170,BELL HELICOPTER TEXTRON INC.,6255500,6255500,3,3,6255500,0,1,10.8,1,DEPT OF PUBLIC SAFETY,2017,0.010310067484003864,peer_outlier|round_1m|whole_dollar,,,,
PZ000027858,IBM CREDIT LLC,7879504,6148384,2,2,6148384,0,1,12.0,1,DEPT OF ADMINISTRATION,2018,0.005168311292760714,peer_outlier|round_100k,,,,
IV0000057742,STEWART TITLE AGENCY,6018628,6018628,1,1,6018628,0,1,15.6,1,PARKS BOARD,2024,0.045052212283670456,no_contract_named|short_tenure_vendor|peer_outlier|offcontract,,,,
IV0000006004,ASU PREPARATORY ACADEMY,22618491,5937500,2,2,5937500,0,1,13.5,2,DEPT OF EDUCATION,2021,0.0046672494562687095,peer_outlier|round_1m|whole_dollar,,,,
IV0000055200,DONORSCHOOSE ORG,6151712,6151712,4,2,5736826,2,1,13.5,1,DEPT OF EDUCATION,2023,0.0008252614590875209,new_vendor_large|short_tenure_vendor|round_1m|peer_outlier,explained_benign,2,downgrade,"DonorsChoose is a well-known national education nonprofit. The Arizona Department of Education publicly partnered with it using federal ESSER COVID-relief funds (announced $14M and an additional $5M efforts) to let public-school teachers request classroom resources (~$1,000/project cap), funding 15,000+ teacher projects."
PZ000009945,SUNDT CONSTRUCTION INC,46197687,46197687,31,1,5701185,0,1,7.8,1,DEPT OF TRANSPORTATION,2021,0.012174231082522614,offcontract|no_contract_named|peer_outlier,,,,
IV0000003986,DOXA CENTRAL LLC,5473500,5473500,3,3,5473500,0,1,12.6,1,ATTORNEY GENERAL (DEPT OF LAW),2023,0.0097826556256685,offcontract|peer_outlier|whole_dollar,,,,
VC0000062123,CHILDRENS RIGHTS INC,5400000,5400000,1,1,5400000,0,1,12.6,1,DEPT OF ADMINISTRATION,2021,0.0026560815666325428,new_vendor_large|round_100k|offcontract,,,,
IV0000003186,ARIZONA SCIENCE CENTER,8652516,6686429,5,2,5186429,3,1,6.0,3,DEPT OF TRANSPORTATION,2021,0.004136234310309918,round_100k|peer_outlier,,,,
IV0000016996,MOTOROLA SOLUTIONS INC,45474006,31571669,27,2,4972493,11,1,9.8,8,DEPT OF PUBLIC SAFETY,2021,0.018358731362132147,peer_outlier|whole_dollar|true_duplicate|offcontract,false_positive_marker,2,suppress_marker,"Motorola Solutions Inc. (NYSE: MSI, headquartered near Chicago) is the dominant U.S. provider of public-safety land-mobile-radio (P25) systems; multi-year, multi-million-dollar statewide radio contracts with state police/DOT agencies are its core line of business."
IV0000002073,JE DUNN CONSTRUCTION,16344666,16034109,24,2,4944712,2,1,9.1,1,DEPT OF CORRECTIONS,2021,0.007786956164105538,whole_dollar|peer_outlier,,,,
IV0000027637,LEXIA LEARNING SYSTEMS LLC,8461101,8461101,10,3,4936200,4,1,9.0,1,DEPT OF EDUCATION,2023,0.0008100282841439916,whole_dollar|new_vendor_large,,,,
PZ000040283,JACKSON WHITE PC,5093984,5093984,2,1,4885000,0,1,6.5,1,DEPT OF TRANSPORTATION,2018,0.0015855719090286827,offcontract|whole_dollar|no_contract_named,,,,
IV0000000654,TEACH FOR AMERICA,6248330,5800000,7,4,4800000,1,1,7.5,2,DEPT OF EDUCATION,2021,0.0003684655153425836,round_1m|whole_dollar|round_100k,,,,
IV0000009069,OFF MADISON AVE,46174429,41954366,117,4,4677985,69,1,19.6,4,OFFICE OF TOURISM,2021,0.3406790618182542,sole_source|whole_dollar|vendor_dependency|round_100k|true_duplicate,,,,
IV0000003048,ADVANTAGE MAILING INC,8317667,5118729,5,3,4652590,0,1,6.0,2,CITIZENS CLEAN ELECTION COMMISSION,2023,0.17383725397992317,peer_outlier|whole_dollar,,,,
IV0000053383,FOCALPOINTK12 INC,7017200,6867200,8,1,4637248,7,1,12.0,1,DEPT OF EDUCATION,2024,0.0008486328723234846,new_vendor_large|short_tenure_vendor|round_100k|peer_outlier,,,,
IV0000005540,COCHISE COUNTY,10671155,4500000,1,1,4500000,0,1,6.0,3,DEPT OF PUBLIC SAFETY,2023,0.01965182920209185,round_100k,,,,
IV0000043137,SEMA CONSTRUCTION INC & SUBSIDIARIES,19156071,19156071,32,4,4487390,11,1,6.5,1,DEPT OF TRANSPORTATION,2023,0.0024711836950797334,offcontract|new_vendor_large|no_contract_named,,,,
VC0000012388,FORESIGHT GROUP HOLDINGS I LLC,4934545,4934545,3,1,4448060,2,1,7.8,1,DEPT OF TRANSPORTATION,2018,0.0014949046711193823,short_tenure_vendor|offcontract|new_vendor_large|no_contract_named,,,,
IV0000000099,SUNLAND ASPHALT & CONSTRUCTION INC,186196579,134418158,191,3,4383480,5,1,9.8,8,DEPT OF TRANSPORTATION,2021,0.03035561980559313,offcontract|whole_dollar|no_contract_named|peer_outlier|round_100k,,,,
