entity_name,names_merged,n_vendor_ids,hv_txn,hv_exposure,n_flagged,flagged_exposure,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,first_year,last_year,n_agencies,agencies,top_markers,verify_verdict,overtaker_interest,public_context,entity_key
GBC PROPERTIES LLC,1,1,10,74457449,10,74457449,5,71182163,1,1,14.3,2024,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|peer_outlier|whole_dollar,mixed,3,GBC Properties LLC appears to be an Arizona real-estate/land-holding entity; the payments align with ADOT right-of-way land acquisition for the Maricopa Regional Area Road Fund (RARF) freeway program rather than a service/construction contract.,GBC PROPERTIES LLC
FISHER SAND AND GRAVEL CO,1,2,477,436900327,346,335365129,10,65474192,11,1,7.8,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|peer_outlier,explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting.",FISHER SAND AND GRAVEL CO
GRANITE CONSTRUCTION CO,3,4,374,281826197,299,253778052,9,50516007,20,1,13.5,2016,2025,2,DEPT OF CORRECTIONS|DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|peer_outlier|round_100k,false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected.",GRANITE CONSTRUCTION CO
ZEITLIN AND ZEITLIN PC,1,1,23,56617785,23,56617785,5,42070795,9,1,16.9,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|peer_outlier|round_100k,explained_benign,2,"Zeitlin & Zeitlin, P.C. is a Phoenix, AZ law firm (founded 1993, Dale & Dawn Zeitlin) specializing in eminent domain and inverse condemnation, representing property owners in government takings; principal Dale Zeitlin has handled over $100M in eminent-domain cases. ADOT payments to it are right-of-way acquisition/condemnation just-compensation payouts.",ZEITLIN AND ZEITLIN PC
LOCAL INITIATIVES SUPPORT CORPORATION,1,1,25,44825293,12,40968988,6,39642178,2,1,15.0,2023,2025,3,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|DEPT OF HOUSING|DEPT OF ECONOMIC SECURITY,offcontract|new_vendor_large|peer_outlier|no_contract_named|true_duplicate,explained_benign,2,"Local Initiatives Support Corporation (LISC) is a major national nonprofit community-development financial intermediary. Its Phoenix office administered Arizona's ~$60M Child Care Infrastructure Grant program (federal ARPA/CCDF pandemic relief) on behalf of DES and First Things First, awarding facility-improvement grants to 478 child care providers statewide.",LOCAL INITIATIVES SUPPORT CORPORATION
DRIGGS TITLE AGENCY INC,1,1,23,51017584,22,50885751,5,38731970,9,1,14.3,2020,2023,2,DEPT OF PUBLIC SAFETY|DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named|peer_outlier,explained_benign,2,"Driggs Title Agency Inc is an Arizona-based title and escrow company; such firms act as the neutral closing/escrow agent through which a government buyer disburses funds when acquiring real property, including highway right-of-way parcels.",DRIGGS TITLE AGENCY INC
COLORADO RIVER INDIAN TRIBES,1,1,7,38160000,7,38160000,7,38160000,0,1,9.0,2020,2023,1,DEPT OF WATER RESOURCES,peer_outlier|offcontract|no_contract_named,,,,COLORADO RIVER INDIAN TRIBES
CGI TECHNOLOGIES AND SOLUTIONS INC,1,2,170,107215012,101,81589437,21,33679365,20,1,18.0,2016,2025,3,DEPT OF CHILD SAFETY|DEPT OF ADMINISTRATION|DEPT OF ECONOMIC SECURITY,whole_dollar|peer_outlier|offcontract|round_1m|true_duplicate,explained_benign,2,"CGI Technologies and Solutions Inc. is the US arm of CGI Inc., a major publicly traded Canadian IT/systems-integration firm; it is the long-standing integrator behind Arizona's statewide AFIS (Arizona Financial Information System) ERP and the HRIS replacement.",CGI TECHNOLOGIES AND SOLUTIONS INC
ARIZONA STATE UNIVERSITY,1,11,1953,6911511041,85,316991384,7,31500000,21,1,12.0,2016,2025,17,DEPT OF HEALTH SERVICES|CITIZENS CLEAN ELECTION COMMISSION|DEPT OF CORRECTIONS|BOARD OF REGENTS|EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|DEPT OF CHILD SAFETY|DEPT OF EDUCATION|GOVERNOR'S OFFICE|DEPT OF ENVIRONMENTAL QUALITY|ARIZONA STATE UNIVERSITY|AHCCCS|DEPT OF PUBLIC SAFETY|DEPT OF ECONOMIC SECURITY|DEPT OF EMERGENCY AND MILITARY AFFAIRS|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|DEPT OF ADMINISTRATION|CRIMINAL JUSTICE COMMISSION,whole_dollar|round_100k|june_round|round_1m|manual_rail_disc,false_positive_marker,2,Arizona State University is a public research university; its Biodesign Institute operated Arizona's statewide COVID-19 saliva-based testing program under contract with the AZ Dept of Health Services during the pandemic.,ARIZONA STATE UNIVERSITY
PACIFIC PROVING LLC,1,1,4,30171069,4,30171069,4,30171069,0,1,15.6,2022,2022,1,DEPT OF TRANSPORTATION,short_tenure_vendor|no_contract_named|new_vendor_large|offcontract|peer_outlier,,,,PACIFIC PROVING LLC
THE WEITZ CO,1,1,63,62286543,44,43624736,17,27177386,7,1,7.8,2020,2022,1,DEPT OF VETERANS SERVICES,offcontract|sole_source|no_contract_named|whole_dollar,explained_benign,2,"The Weitz Company was the construction-manager-at-risk (with architect SmithGroup) for the Arizona Department of Veterans' Services on the Flagstaff and Yuma State Veteran Homes — two 74,000 sq ft, 80-bed facilities; groundbreaking 2019, scheduled completion June 2021. This confirms the FY2021 draws as routine progress payments on a documented, publicly announced capital project.",THE WEITZ CO
SMT INVESTORS LIMITED PARTNERSHIP,1,1,4,26974399,4,26974399,3,26857620,1,1,15.6,2022,2022,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|short_tenure_vendor|no_contract_named|peer_outlier,,,,SMT INVESTORS LIMITED PARTNERSHIP
AYA DIGITAL LLC,1,1,20,32094863,18,31442797,10,26290767,8,1,16.5,2022,2023,1,DEPT OF HEALTH SERVICES,short_tenure_vendor|new_vendor_large|peer_outlier|whole_dollar,,,,AYA DIGITAL LLC
COFFMAN SPECIALTIES INC,2,2,69,127059660,28,80606473,4,25284362,4,1,13.0,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|peer_outlier|true_duplicate|whole_dollar,explained_benign,2,"Coffman Specialties, Inc. is an established heavy-civil/highway construction firm (founded 1991, Woman-Owned Business Enterprise) with documented major ADOT design-build contracts, including a ~$410M I-10 corridor project (with Fisher Sand & Gravel/Stantec) and a $41.9M US-60/Bell Road interchange in Surprise, AZ.",COFFMAN SPECIALTIES INC
GINKGO BIOWORKS INC,1,1,108,70506017,101,68535126,14,24713619,44,1,15.0,2022,2024,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large|peer_outlier,,,,GINKGO BIOWORKS INC
DELOITTE CONSULTING,1,2,54,43913464,37,32179534,6,24570027,16,1,10.5,2017,2025,6,DEPT OF TRANSPORTATION|DEPT OF FINANCIAL INSTITUTIONS|DEPT OF REVENUE|DEPT OF ADMINISTRATION|DEPT OF ECONOMIC SECURITY|REGISTRAR OF CONTRACTORS,whole_dollar|true_duplicate|peer_outlier|new_vendor_large|offcontract,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems.",DELOITTE CONSULTING
CRE-WPL ESTRELLA JV LLC,1,1,3,24340000,3,24340000,2,24010375,1,1,15.6,2024,2024,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|short_tenure_vendor|no_contract_named|peer_outlier,explained_benign,2,"""Estrella"" is a master-planned community in Goodyear, Arizona (southwest Maricopa County), in the SR-30 / Loop 303 freeway corridor; ""CRE-WPL Estrella JV LLC"" reads as a commercial-real-estate joint venture entity. A targeted web search confirmed only the general ADOT right-of-way land-acquisition context, not the specific JV (single-purpose land-holding LLCs are not independently searchable).",CRE-WPL ESTRELLA JV LLC
SCIENTIFIC GAMES INTERNATIONAL,3,3,599,195335362,114,66273455,4,23667600,21,1,15.4,2016,2025,1,LOTTERY COMMISSION,new_vendor_large|whole_dollar|true_duplicate|offcontract|round_100k,,,,SCIENTIFIC GAMES INTERNATIONAL
BOSCHMA LAND TRUST,1,1,5,23315774,5,23315774,3,22564086,1,1,15.6,2024,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|new_vendor_large|short_tenure_vendor,,,,BOSCHMA LAND TRUST
HDR ENGINEERING INC,1,2,312,131569587,247,105143733,19,22288320,36,1,9.0,2016,2025,2,DEPT OF TRANSPORTATION|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,offcontract|peer_outlier|no_contract_named|whole_dollar,,,,HDR ENGINEERING INC
SUNDT CONSTRUCTION INC,1,2,92,140467601,69,86538941,3,21813055,1,1,7.8,2020,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|peer_outlier|round_100k,explained_benign,2,"Sundt Construction is a major employee-owned general contractor headquartered in Tempe, Arizona (founded 1890), and one of the largest builders in the Southwest, with a long history of Arizona Department of Transportation highway and freeway work.",SUNDT CONSTRUCTION INC
BELL TEXTRON INC,3,2,10,22083596,8,21777431,5,20833882,2,1,10.8,2017,2024,1,DEPT OF PUBLIC SAFETY,peer_outlier|whole_dollar|offcontract|round_1m,,,,BELL TEXTRON INC
MAXIMUS HUMAN SERVICES INC,2,2,71,59000010,17,26153864,8,20799014,3,1,9.0,2021,2024,2,DEPT OF ECONOMIC SECURITY|DEPT OF HOUSING,peer_outlier|offcontract|no_contract_named|true_duplicate,,,,MAXIMUS HUMAN SERVICES INC
NCS PEARSON INC,1,2,352,165588927,40,33537097,9,20059115,12,1,7.5,2016,2025,1,DEPT OF EDUCATION,whole_dollar|true_duplicate|peer_outlier|round_1m|round_100k,,,,NCS PEARSON INC
SJW LAND COMPANY,1,1,2,20000000,2,20000000,2,20000000,0,1,13.0,2017,2017,1,DEPT OF TRANSPORTATION,no_contract_named|new_vendor_large|offcontract|short_tenure_vendor|peer_outlier,,,,SJW LAND COMPANY
DISCOVERY EDUCATION INC,1,1,5,20907716,5,20907716,3,19488489,0,1,10.5,2022,2023,1,DEPT OF EDUCATION,new_vendor_large|peer_outlier,,,,DISCOVERY EDUCATION INC
DONORSCHOOSE ORG,1,1,6,19967600,4,19552714,3,19180649,0,1,10.5,2022,2023,1,DEPT OF EDUCATION,new_vendor_large|peer_outlier|round_1m,explained_benign,2,"DonorsChoose is a well-known national education nonprofit. The Arizona Department of Education publicly partnered with it using federal ESSER COVID-relief funds (announced $14M and an additional $5M efforts) to let public-school teachers request classroom resources (~$1,000/project cap), funding 15,000+ teacher projects.",DONORSCHOOSE ORG
NAME REDACTED,1,848,50121,25366704845,46,26016063,7,18802863,20,1,12.6,2016,2025,17,DEPT OF EDUCATION|DEPT OF CHILD SAFETY|ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF ENVIRONMENTAL QUALITY|GOVERNOR'S OFFICE|UNIVERSITY OF ARIZONA|COMMISSION FOR POSTSECONDARY EDUCATION|BOARD OF MEDICAL STUDENT LOANS|DEPT OF ADMINISTRATION|DEPT OF ECONOMIC SECURITY|DEPT OF HOUSING|AHCCCS|GAME AND FISH DEPARTMENT|SUPREME COURT|DEPT OF HEALTH SERVICES|BOARD OF REGENTS|INDUSTRIAL COMMISSION,offcontract|whole_dollar|peer_outlier|round_100k,explained_benign,2,"Payee name is redacted in the data (the literal string 'NAME REDACTED' is a placeholder token shared by ~1,821 distinct vendor IDs), so no specific named entity can be identified or searched. The Arizona AG's Consumer Restitution and Remediation Revolving Fund is the statutory vehicle (A.R.S. consumer-fraud statutes) for disbursing settlement proceeds, frequently to counties and claims administrators.",NAME REDACTED
"GEO CORRECTIONS AND DETENTION, LLC",2,1,176,193519900,124,90356453,4,16760066,34,1,7.5,2016,2019,1,DEPT OF CORRECTIONS,whole_dollar|offcontract|no_contract_named|round_100k|round_1m,,,,"GEO CORRECTIONS AND DETENTION, LLC"
CDW GOVERNMENT INC,1,2,905,281019123,224,109568756,9,14937288,25,1,9.8,2017,2025,28,DEPT OF REVENUE|INDUSTRIAL COMMISSION|DEPT OF PUBLIC SAFETY|DEPT OF ECONOMIC SECURITY|GAME AND FISH DEPARTMENT|LEGISLATIVE COUNCIL|AHCCCS|SUPREME COURT|LOTTERY COMMISSION|DEPT OF EMERGENCY AND MILITARY AFFAIRS|REGISTRAR OF CONTRACTORS|ARIZONA STATE RETIREMENT SYSTEM (ASRS)|DEPT OF VETERANS SERVICES|DEPT OF HEALTH SERVICES|DEPT OF WATER RESOURCES|DEPT OF TRANSPORTATION|SECRETARY OF STATE (DEPT OF STATE)|DEPT OF ADMINISTRATION|DEPT OF CORRECTIONS|LAND DEPARTMENT|DEPT OF CHILD SAFETY|ATTORNEY GENERAL (DEPT OF LAW)|EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|GOVERNOR'S OFFICE|DEPT OF HOMELAND SECURITY|DEPT OF EDUCATION|DEPT OF ENVIRONMENTAL QUALITY|CORPORATION COMMISSION,whole_dollar|peer_outlier|offcontract|round_100k|true_duplicate,,,,CDW GOVERNMENT INC
GCOM SOFTWARE LLC,1,1,9,18990919,9,18990919,5,14835978,3,1,16.8,2024,2025,1,DEPT OF REVENUE,new_vendor_dominant|peer_outlier|new_vendor_large|whole_dollar|round_100k,explained_benign,3,"GCOM Software LLC (now rebranded Voyatek) was selected by the Arizona Dept of Revenue in Aug 2023 for a ~15-year, ~$79.1M contract to build the STARS integrated tax system (RevHub platform, with subcontractor Kyndryl). The multi-year modernization is publicly documented and ongoing (completion ~2029-2030).",GCOM SOFTWARE LLC
TOHONO O ODHAM NATION,1,2,13,17621120,12,17477233,3,14283930,2,1,12.6,2016,2025,2,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|DEPT OF WATER RESOURCES,offcontract|whole_dollar|peer_outlier|round_1m,,,,TOHONO O ODHAM NATION
CENTRAL ARIZONA WATER CONSERVATION DISTRICT,1,2,62,42010132,39,34420843,2,13718801,21,1,13.5,2016,2025,3,DEPT OF WATER RESOURCES|DEPT OF TRANSPORTATION|LAND DEPARTMENT,whole_dollar|offcontract|no_contract_named|peer_outlier|round_100k,,,,CENTRAL ARIZONA WATER CONSERVATION DISTRICT
VALORIT,1,2,218,83714823,34,20604513,6,13345890,3,1,10.5,2018,2025,3,DEPT OF ECONOMIC SECURITY|DEPT OF REVENUE|DEPT OF HEALTH SERVICES,whole_dollar|offcontract|peer_outlier|true_duplicate,,,,VALORIT
EMERY SAPP & SONS INC AND SUBSIDIARIES,1,1,23,23812085,23,23812085,6,12937735,3,1,6.5,2023,2024,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|new_vendor_large,,,,EMERY SAPP & SONS INC AND SUBSIDIARIES
"ACTIVE RESOURCE MANAGEMENT, LLC",1,1,1,12500000,1,12500000,1,12500000,0,1,26.6,2017,2017,1,DEPT OF WATER RESOURCES,offcontract|vendor_dependency|round_100k|new_vendor_dominant|peer_outlier,genuine_review,4,"ACTIVE RESOURCE MANAGEMENT, LLC (ARM) was a water-asset holding company (owned by Vidler Water Company) that sold 50,000 Long Term Storage Credits to the Arizona Water Banking Authority for $12.5M (~$250/credit). Local reporting (Desert Water Grab) characterized it as a private sale to the water bank at a notably high price relative to ARM's underlying acquisition cost.","ACTIVE RESOURCE MANAGEMENT, LLC"
NAPHCARE ARIZONA LLC,1,1,1,12260000,1,12260000,1,12260000,0,1,12.0,2023,2023,1,DEPT OF CORRECTIONS,short_tenure_vendor|new_vendor_large|peer_outlier,,,,NAPHCARE ARIZONA LLC
SOLIX INC,1,1,23,24444441,12,17091014,5,12223778,7,1,15.0,2024,2025,1,DEPT OF EDUCATION,short_tenure_vendor|new_vendor_large|true_duplicate|peer_outlier|offcontract,,,,SOLIX INC
DOXA CENTRAL LLC,1,2,14,13427875,14,13427875,7,12215500,0,1,12.6,2018,2025,1,ATTORNEY GENERAL (DEPT OF LAW),whole_dollar|peer_outlier|offcontract|round_100k,,,,DOXA CENTRAL LLC
JP MORGAN ELECTRONIC FINANCIAL SERVICES INC,1,1,41,16508165,12,13254975,1,12006779,0,1,11.2,2016,2017,2,DEPT OF CHILD SAFETY|DEPT OF ECONOMIC SECURITY,offcontract|whole_dollar|peer_outlier,,,,JP MORGAN ELECTRONIC FINANCIAL SERVICES INC
BANNER HEALTH,3,7,45,526311170,2,11933648,2,11933648,0,1,16.5,2017,2025,5,ATTORNEY GENERAL (DEPT OF LAW)|AHCCCS|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF HEALTH SERVICES|BOARD OF NURSING,peer_outlier|offcontract|round_1m|no_contract_named,explained_benign,2,,BANNER HEALTH
SUNDT CS A JOINT VENTURE,1,1,25,79361812,17,29821235,3,11541869,2,1,10.4,2022,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|new_vendor_large|whole_dollar|peer_outlier,mixed,3,"Sundt Construction is a large employee-owned, Arizona-headquartered general/heavy-civil contractor (founded 1890); 'CS A JOINT VENTURE' denotes a project-specific JV it forms for ADOT freeway/transportation work.",SUNDT CS A JOINT VENTURE
MARICOPA COUNTY,1,19,11970,6674640477,72,97234038,6,11252515,28,1,6.5,2016,2025,24,DEPT OF CORRECTIONS|STATEWIDE SYSTEMS PROCESSING|DEPT OF HEALTH SERVICES|DEPT OF EDUCATION|ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF HOMELAND SECURITY|GOVERNOR'S OFFICE|DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS|EARLY CHILDHOOD DEVELOP AND HEALTH BOARD|DEPT OF ECONOMIC SECURITY|SCHOOL FACILITIES BOARD|SUPREME COURT|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF HOUSING|DEPT OF PUBLIC SAFETY|PARKS BOARD|GAME AND FISH DEPARTMENT|CRIMINAL JUSTICE COMMISSION|DEPT OF ADMINISTRATION|DEPT OF TRANSPORTATION|SECRETARY OF STATE (DEPT OF STATE)|STATE TREASURER|GOVERNOR'S OFFICE OF HIGHWAY SAFETY,whole_dollar|round_1m|round_100k,false_positive_marker,2,,MARICOPA COUNTY
"KCC CLASS ACTION SERVICES, LLC",2,0,2,10639114,1,10518358,1,10518358,0,1,6.0,2019,2019,1,ATTORNEY GENERAL (DEPT OF LAW),peer_outlier,,,,"KCC CLASS ACTION SERVICES, LLC"
ON ADVERTISING INC,1,1,12,11819259,9,11213136,4,9926530,0,1,13.5,2022,2025,4,DEPT OF HEALTH SERVICES|DEPT OF EDUCATION|DEPT OF ECONOMIC SECURITY|DEPT OF PUBLIC SAFETY,whole_dollar|round_1m|peer_outlier,,,,ON ADVERTISING INC
CENTURION OF ARIZONA LLC,1,1,104,693105620,18,36167787,4,9700000,4,1,12.0,2020,2023,2,DEPT OF HEALTH SERVICES|DEPT OF CORRECTIONS,offcontract|round_100k|no_contract_named|june_round|whole_dollar,explained_benign,3,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities.",CENTURION OF ARIZONA LLC
"REXCO, LLC",1,1,2,10048301,2,10048301,1,9475548,0,1,7.8,2016,2016,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|peer_outlier,,,,"REXCO, LLC"
ARIZONA COMMERCE AUTHORITY,1,1,434,415482214,44,33414685,4,9041650,33,1,19.5,2016,2025,7,OFFICE OF ECONOMIC OPPORTUNITY|ARIZONA COMMERCE AUTHORITY|LOTTERY COMMISSION|OFFICE OF TOURISM|DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION|GOVERNOR'S OFFICE,offcontract|sole_source|vendor_dependency|whole_dollar|june_round,,,,ARIZONA COMMERCE AUTHORITY
ASU PREPARATORY ACADEMY,1,2,64,31957308,4,9437500,3,8837500,1,1,13.5,2016,2025,2,DEPT OF EDUCATION|GOVERNOR'S OFFICE,peer_outlier|round_100k|whole_dollar|round_1m,,,,ASU PREPARATORY ACADEMY
TUCSON AIRPORT AUTHORITY,1,2,75,21378356,30,13302414,3,8397895,0,1,8.4,2016,2025,2,DEPT OF TRANSPORTATION|DEPT OF EMERGENCY AND MILITARY AFFAIRS,offcontract|peer_outlier|whole_dollar,,,,TUCSON AIRPORT AUTHORITY
BANC OF AMERICA PUBLIC CAPITAL CORP,1,2,106,50077801,47,35481756,2,8264337,6,1,9.6,2016,2025,3,DEPT OF PUBLIC SAFETY|DEPT OF ECONOMIC SECURITY|DEPT OF TRANSPORTATION,peer_outlier|offcontract,,,,BANC OF AMERICA PUBLIC CAPITAL CORP
FIDELITY NATIONAL TITLE,2,2,5,12093826,5,12093826,2,8061438,3,1,15.6,2021,2025,3,DEPT OF PUBLIC SAFETY|DEPT OF TRANSPORTATION|DEPT OF AGRICULTURE,offcontract|no_contract_named|round_100k|peer_outlier|whole_dollar,,,,FIDELITY NATIONAL TITLE
CARAHSOFT TECHNOLOGY CORP,2,2,549,161100617,215,75083783,5,7613804,33,1,10.5,2017,2025,27,OFFICE OF TOURISM|BOARD OF TECHNICAL REGISTRATION|DEPT OF ADMINISTRATION|INDUSTRIAL COMMISSION|BOARD OF EQUALIZATION|DEPT OF REVENUE|OFFICE OF ECONOMIC OPPORTUNITY|BARBERING AND COSMETOLOGY BOARD|SECRETARY OF STATE (DEPT OF STATE)|DEPT OF TRANSPORTATION|DEPT OF GAMING|DEPT OF HEALTH SERVICES|DEPT OF WATER RESOURCES|REGISTRAR OF CONTRACTORS|DEPT OF ECONOMIC SECURITY|AHCCCS|DEPT OF PUBLIC SAFETY|SUPREME COURT|DEPT OF HOUSING|DEPT OF HOMELAND SECURITY|GOVERNOR'S OFFICE|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF CHILD SAFETY|DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS|DEPT OF FORESTRY AND FIRE MANAGEMENT|DEPT OF CORRECTIONS|LAND DEPARTMENT,whole_dollar|true_duplicate|offcontract|sole_source|peer_outlier,,,,CARAHSOFT TECHNOLOGY CORP
